2022-10-13 18:11:52 install libfile-fcntllock-perl:amd64 <none> 0.22-3+b5
2022-10-13 18:11:52 status half-installed libfile-fcntllock-perl:amd64 0.22-3+b5
2022-10-13 18:11:52 status unpacked libfile-fcntllock-perl:amd64 0.22-3+b5
2022-10-13 18:11:52 install libgeoip-dev:amd64 <none> 1.6.12-1
2022-10-13 18:11:52 status half-installed libgeoip-dev:amd64 1.6.12-1
2022-10-13 18:11:52 status unpacked libgeoip-dev:amd64 1.6.12-1
2022-10-13 18:11:52 install libmaxminddb0:amd64 <none> 1.3.2-1+deb10u1
2022-10-13 18:11:52 status half-installed libmaxminddb0:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 status unpacked libmaxminddb0:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 install libmaxminddb-dev:amd64 <none> 1.3.2-1+deb10u1
2022-10-13 18:11:52 status half-installed libmaxminddb-dev:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 status unpacked libmaxminddb-dev:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 install libsasl2-modules:amd64 <none> 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 status half-installed libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 status unpacked libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 startup packages configure
2022-10-13 18:11:52 configure perl-modules-5.28:all 5.28.1-6+deb10u1 <none>
2022-10-13 18:11:52 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2022-10-13 18:11:52 status half-configured perl-modules-5.28:all 5.28.1-6+deb10u1
2022-10-13 18:11:52 status installed perl-modules-5.28:all 5.28.1-6+deb10u1
2022-10-13 18:11:52 configure libksba8:amd64 1.3.5-2 <none>
2022-10-13 18:11:52 status unpacked libksba8:amd64 1.3.5-2
2022-10-13 18:11:52 status half-configured libksba8:amd64 1.3.5-2
2022-10-13 18:11:52 status installed libksba8:amd64 1.3.5-2
2022-10-13 18:11:52 configure libmaxminddb0:amd64 1.3.2-1+deb10u1 <none>
2022-10-13 18:11:52 status unpacked libmaxminddb0:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 status half-configured libmaxminddb0:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 status installed libmaxminddb0:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 configure libmaxminddb-dev:amd64 1.3.2-1+deb10u1 <none>
2022-10-13 18:11:52 status unpacked libmaxminddb-dev:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 status half-configured libmaxminddb-dev:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 status installed libmaxminddb-dev:amd64 1.3.2-1+deb10u1
2022-10-13 18:11:52 configure libsqlite3-0:amd64 3.27.2-3+deb10u2 <none>
2022-10-13 18:11:52 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u2
2022-10-13 18:11:52 status half-configured libsqlite3-0:amd64 3.27.2-3+deb10u2
2022-10-13 18:11:52 status installed libsqlite3-0:amd64 3.27.2-3+deb10u2
2022-10-13 18:11:52 configure libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u2 <none>
2022-10-13 18:11:52 status unpacked libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 status half-configured libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 status installed libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 configure binutils-common:amd64 2.31.1-16 <none>
2022-10-13 18:11:52 status unpacked binutils-common:amd64 2.31.1-16
2022-10-13 18:11:52 status half-configured binutils-common:amd64 2.31.1-16
2022-10-13 18:11:52 status installed binutils-common:amd64 2.31.1-16
2022-10-13 18:11:52 configure libnpth0:amd64 1.6-1 <none>
2022-10-13 18:11:52 status unpacked libnpth0:amd64 1.6-1
2022-10-13 18:11:52 status half-configured libnpth0:amd64 1.6-1
2022-10-13 18:11:52 status installed libnpth0:amd64 1.6-1
2022-10-13 18:11:52 configure libassuan0:amd64 2.5.2-1 <none>
2022-10-13 18:11:52 status unpacked libassuan0:amd64 2.5.2-1
2022-10-13 18:11:52 status half-configured libassuan0:amd64 2.5.2-1
2022-10-13 18:11:52 status installed libassuan0:amd64 2.5.2-1
2022-10-13 18:11:52 configure libgomp1:amd64 8.3.0-6 <none>
2022-10-13 18:11:52 status unpacked libgomp1:amd64 8.3.0-6
2022-10-13 18:11:52 status half-configured libgomp1:amd64 8.3.0-6
2022-10-13 18:11:52 status installed libgomp1:amd64 8.3.0-6
2022-10-13 18:11:52 configure bzip2:amd64 1.0.6-9.2~deb10u2 <none>
2022-10-13 18:11:52 status unpacked bzip2:amd64 1.0.6-9.2~deb10u2
2022-10-13 18:11:52 status half-configured bzip2:amd64 1.0.6-9.2~deb10u2
2022-10-13 18:11:52 status installed bzip2:amd64 1.0.6-9.2~deb10u2
2022-10-13 18:11:52 configure libldap-common:all 2.4.47+dfsg-3+deb10u7 <none>
2022-10-13 18:11:52 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u7
2022-10-13 18:11:52 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u7
2022-10-13 18:11:52 status installed libldap-common:all 2.4.47+dfsg-3+deb10u7
2022-10-13 18:11:52 configure libfakeroot:amd64 1.23-1 <none>
2022-10-13 18:11:52 status unpacked libfakeroot:amd64 1.23-1
2022-10-13 18:11:52 status half-configured libfakeroot:amd64 1.23-1
2022-10-13 18:11:52 status installed libfakeroot:amd64 1.23-1
2022-10-13 18:11:52 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2 <none>
2022-10-13 18:11:52 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:52 configure fakeroot:amd64 1.23-1 <none>
2022-10-13 18:11:52 status unpacked fakeroot:amd64 1.23-1
2022-10-13 18:11:52 status half-configured fakeroot:amd64 1.23-1
2022-10-13 18:11:52 status installed fakeroot:amd64 1.23-1
2022-10-13 18:11:52 configure libasan5:amd64 8.3.0-6 <none>
2022-10-13 18:11:52 status unpacked libasan5:amd64 8.3.0-6
2022-10-13 18:11:52 status half-configured libasan5:amd64 8.3.0-6
2022-10-13 18:11:52 status installed libasan5:amd64 8.3.0-6
2022-10-13 18:11:52 configure make:amd64 4.2.1-1.2 <none>
2022-10-13 18:11:52 status unpacked make:amd64 4.2.1-1.2
2022-10-13 18:11:52 status half-configured make:amd64 4.2.1-1.2
2022-10-13 18:11:52 status installed make:amd64 4.2.1-1.2
2022-10-13 18:11:52 configure libmpfr6:amd64 4.0.2-1 <none>
2022-10-13 18:11:52 status unpacked libmpfr6:amd64 4.0.2-1
2022-10-13 18:11:52 status half-configured libmpfr6:amd64 4.0.2-1
2022-10-13 18:11:52 status installed libmpfr6:amd64 4.0.2-1
2022-10-13 18:11:52 configure gnupg-l10n:all 2.2.12-1+deb10u2 <none>
2022-10-13 18:11:52 status unpacked gnupg-l10n:all 2.2.12-1+deb10u2
2022-10-13 18:11:52 status half-configured gnupg-l10n:all 2.2.12-1+deb10u2
2022-10-13 18:11:52 status installed gnupg-l10n:all 2.2.12-1+deb10u2
2022-10-13 18:11:52 configure xz-utils:amd64 5.2.4-1+deb10u1 <none>
2022-10-13 18:11:52 status unpacked xz-utils:amd64 5.2.4-1+deb10u1
2022-10-13 18:11:52 status half-configured xz-utils:amd64 5.2.4-1+deb10u1
2022-10-13 18:11:52 status installed xz-utils:amd64 5.2.4-1+deb10u1
2022-10-13 18:11:52 configure libquadmath0:amd64 8.3.0-6 <none>
2022-10-13 18:11:52 status unpacked libquadmath0:amd64 8.3.0-6
2022-10-13 18:11:52 status half-configured libquadmath0:amd64 8.3.0-6
2022-10-13 18:11:52 status installed libquadmath0:amd64 8.3.0-6
2022-10-13 18:11:52 configure libmpc3:amd64 1.1.0-1 <none>
2022-10-13 18:11:52 status unpacked libmpc3:amd64 1.1.0-1
2022-10-13 18:11:52 status half-configured libmpc3:amd64 1.1.0-1
2022-10-13 18:11:52 status installed libmpc3:amd64 1.1.0-1
2022-10-13 18:11:52 configure libatomic1:amd64 8.3.0-6 <none>
2022-10-13 18:11:52 status unpacked libatomic1:amd64 8.3.0-6
2022-10-13 18:11:52 status half-configured libatomic1:amd64 8.3.0-6
2022-10-13 18:11:52 status installed libatomic1:amd64 8.3.0-6
2022-10-13 18:11:52 configure patch:amd64 2.7.6-3+deb10u1 <none>
2022-10-13 18:11:52 status unpacked patch:amd64 2.7.6-3+deb10u1
